input,status,time_stamp
phone and person video,mobile phone detected,28-Jan-2021
phone and person video,More than one person detected,28-Jan-2021
b'/9j/4AAQSk',mobile phone detected,28-Jan-2021
phone and person video,More than one person detected,28-Jan-2021
b'/9j/4AAQSk',mobile phone detected,28-Jan-2021
b'/9j/4AAQSk',More than one person detected,28-Jan-2021
b'/9j/4AAQSk',mobile phone detected,"28-Jan-2021, 18:44:51"
b'/9j/4AAQSk',More than one person detected,"28-Jan-2021, 18:44:51"
b'/9j/4AAQSk',mobile phone detected,"28-Jan-2021, 18:45:18"
b'/9j/4AAQSk',More than one person detected,"28-Jan-2021, 18:45:18"
